Red,Green,Blue
0.500,0.292,0.208
0.536,0.250,0.214
0.531,0.250,0.219
0.531,0.250,0.219
0.529,0.265,0.206
0.536,0.286,0.179
0.500,0.308,0.192
0.522,0.304,0.174
0.545,0.273,0.182
0.550,0.250,0.200
0.524,0.286,0.190
0.579,0.263,0.158
0.545,0.273,0.182
0.542,0.292,0.167
0.550,0.300,0.150
0.579,0.263,0.158
0.571,0.286,0.143
0.556,0.278,0.167
0.556,0.278,0.167
0.522,0.304,0.174
0.542,0.292,0.167
0.522,0.304,0.174
0.545,0.273,0.182
0.536,0.286,0.179
0.538,0.269,0.192
0.531,0.281,0.187
0.528,0.278,0.194
0.528,0.278,0.194
0.528,0.278,0.194
0.528,0.278,0.194
0.528,0.278,0.194
0.525,0.275,0.200
0.525,0.275,0.200
0.531,0.281,0.187
0.528,0.278,0.194
0.545,0.273,0.182
0.545,0.273,0.182
0.543,0.257,0.200
0.564,0.256,0.179
0.574,0.234,0.191
0.585,0.244,0.171
0.574,0.234,0.191
0.564,0.255,0.182
0.556,0.259,0.185
0.533,0.267,0.200
0.525,0.279,0.197
0.523,0.277,0.200
0.515,0.273,0.212
0.522,0.269,0.209
0.524,0.270,0.206
0.533,0.267,0.200
0.525,0.279,0.197
0.531,0.266,0.203
0.515,0.273,0.212
0.516,0.274,0.210
0.516,0.274,0.210
0.517,0.276,0.207
0.519,0.288,0.192
0.508,0.270,0.222
0.521,0.268,0.211
0.530,0.258,0.212
0.540,0.254,0.206
0.552,0.239,0.209
0.557,0.243,0.200
0.561,0.242,0.197
0.569,0.231,0.200
0.545,0.242,0.212
0.529,0.255,0.216
0.521,0.260,0.219
0.509,0.263,0.228
0.524,0.254,0.222
0.533,0.250,0.217
0.545,0.250,0.205
0.568,0.243,0.189
0.568,0.243,0.189
0.585,0.226,0.189
0.583,0.233,0.183
0.574,0.234,0.191
0.600,0.225,0.175
0.587,0.239,0.174
0.571,0.245,0.184
0.577,0.231,0.192
0.574,0.234,0.191
0.556,0.244,0.200
0.565,0.239,0.196
0.581,0.233,0.186
0.565,0.239,0.196
0.512,0.279,0.209
0.475,0.300,0.225
0.485,0.273,0.242
0.577,0.231,0.192
0.640,0.200,0.160
0.654,0.192,0.154
0.654,0.192,0.154
0.643,0.179,0.179
0.606,0.212,0.182
0.541,0.243,0.216
0.514,0.257,0.229
0.475,0.275,0.250
0.486,0.270,0.243
0.514,0.257,0.229
0.472,0.278,0.250
0.447,0.316,0.237
0.455,0.318,0.227
0.465,0.326,0.209
0.462,0.333,0.205
0.486,0.324,0.189
0.526,0.316,0.158
0.611,0.250,0.139
0.656,0.219,0.125
0.622,0.216,0.162
0.625,0.225,0.150
0.686,0.171,0.143
0.679,0.179,0.143
0.667,0.185,0.148
0.645,0.194,0.161
0.613,0.226,0.161
0.585,0.268,0.146
0.568,0.295,0.136
0.571,0.310,0.119
0.564,0.308,0.128
0.564,0.308,0.128
0.558,0.302,0.140
0.542,0.292,0.167
0.525,0.288,0.186
0.516,0.290,0.194
0.516,0.290,0.194
0.547,0.266,0.187
0.630,0.222,0.148
0.660,0.191,0.149
0.522,0.261,0.217
0.606,0.212,0.182
0.535,0.279,0.186
0.538,0.269,0.192
0.509,0.291,0.200
0.526,0.263,0.211
0.554,0.265,0.181
0.536,0.286,0.179
0.531,0.281,0.187
0.519,0.269,0.212
0.510,0.265,0.224
0.522,0.261,0.217
0.521,0.271,0.208
0.522,0.261,0.217
0.500,0.275,0.225
0.517,0.259,0.224
0.514,0.270,0.216
0.486,0.297,0.216
0.490,0.286,0.224
0.510,0.265,0.224
0.526,0.263,0.211
0.509,0.273,0.218
0.518,0.268,0.214
0.486,0.286,0.229
0.367,0.367,0.267
0.368,0.368,0.263
0.364,0.364,0.273
0.382,0.353,0.265
